IndexName,Date,Price,P/E,P/B,Dividend Yield,Changes,Normalized Price,Standardized Price,Moving Average,,,,,,,
NIFTY 50,03-01-2005,2115,15.57,3.67,1.89,1.66%,0.008739982,-1.231824114,,,,,,,,
NIFTY 50,04-01-2005,2103.75,15.49,3.65,1.9,-0.53%,0.008277277,-1.233763054,,,,,,,,
NIFTY 50,05-01-2005,2032.2,14.96,3.52,1.97,-3.40%,0.005334474,-1.246094711,,,,,,,,
NIFTY 50,06-01-2005,1998.35,14.71,3.47,2,-1.67%,0.003942246,-1.251928766,,,,,,,,
NIFTY 50,07-01-2005,2015.5,14.84,3.49,1.98,0.86%,0.004647614,-1.24897296,2052.96,,,,,,,
NIFTY 50,10-01-2005,1982,14.58,3.44,2.02,-1.66%,0.003269782,-1.254746692,2026.36,,,,,,,
NIFTY 50,11-01-2005,1952.05,14.37,3.39,2.05,-1.51%,0.002037958,-1.25990858,1996.02,,,,,,,
NIFTY 50,12-01-2005,1913.6,14.05,3.32,2.09,-1.97%,0.000456536,-1.266535445,1972.3,,,,,,,
NIFTY 50,13-01-2005,1954.55,14.35,3.39,2.05,2.14%,0.002140782,-1.259477705,1963.54,,,,,,,
NIFTY 50,14-01-2005,1931.1,14.18,3.35,2.07,-1.20%,0.001176299,-1.263519317,1946.66,,,,,,,
NIFTY 50,17-01-2005,1932.9,14.17,3.35,2.07,0.09%,0.001250332,-1.263209087,1936.84,,,,,,,
NIFTY 50,18-01-2005,1934.05,14.19,3.36,2.07,0.06%,0.00129763,-1.263010884,1933.24,,,,,,,
NIFTY 50,19-01-2005,1926.65,14.12,3.34,2.07,-0.38%,0.000993273,-1.264286275,1935.85,,,,,,,
NIFTY 50,20-01-2005,1925.3,14.09,3.34,2.08,-0.07%,0.000937749,-1.264518948,1930,,,,,,,
NIFTY 50,24-01-2005,1909,13.6,3.31,2.09,-0.85%,0.000267341,-1.267328256,1925.58,,,,,,,
NIFTY 50,25-01-2005,1931.85,13.74,3.35,2.07,1.20%,0.001207146,-1.263390054,1925.37,,,,,,,
NIFTY 50,27-01-2005,1955,13.84,3.39,2.04,1.20%,0.00215929,-1.259400147,1929.56,,,,,,,
NIFTY 50,28-01-2005,2008.3,14.34,3.49,1.99,2.73%,0.004351483,-1.250213881,1945.89,,,,,,,
NIFTY 50,31-01-2005,2057.6,14.68,3.57,1.94,2.45%,0.006379159,-1.241717016,1972.35,,,,,,,
NIFTY 50,01-02-2005,2059.85,14.34,3.58,1.94,0.11%,0.0064717,-1.241329228,2002.52,,,,,,,
NIFTY 50,02-02-2005,2052.25,14.24,3.56,1.95,-0.37%,0.006159117,-1.24263909,2026.6,,,,,,,
NIFTY 50,03-02-2005,2079.45,14.42,3.61,1.92,1.33%,0.007277835,-1.237951164,2051.49,,,,,,,
NIFTY 50,04-02-2005,2077.95,14.41,3.61,1.92,-0.07%,0.007216141,-1.238209689,2065.42,,,,,,,
NIFTY 50,07-02-2005,2055.1,14.26,3.57,2.02,-1.10%,0.006276336,-1.242147892,2064.92,,,,,,,
NIFTY 50,08-02-2005,2055.15,14.26,3.57,2.02,0.00%,0.006278392,-1.242139274,2063.98,,,,,,,
NIFTY 50,09-02-2005,2070,14.36,3.59,2.01,0.72%,0.006889163,-1.239579874,2067.53,,,,,,,
NIFTY 50,10-02-2005,2063.35,14.31,3.58,2.01,-0.32%,0.006615653,-1.240726002,2064.31,,,,,,,
NIFTY 50,11-02-2005,2082.05,14.48,3.61,2,0.91%,0.007384771,-1.237503054,2065.13,,,,,,,
NIFTY 50,14-02-2005,2098.25,14.59,3.64,1.99,0.78%,0.008051066,-1.23471098,2073.76,,,,,,,
NIFTY 50,15-02-2005,2089.95,14.53,3.63,2,-0.40%,0.007709693,-1.236141487,2080.72,,,,,,,
NIFTY 50,16-02-2005,2068.8,14.39,3.59,2.02,-1.01%,0.006839807,-1.239786694,2080.48,,,,,,,
NIFTY 50,17-02-2005,2061.9,14.34,3.58,2.03,-0.33%,0.006556015,-1.24097591,2080.19,,,,,,,
NIFTY 50,18-02-2005,2055.55,14.29,3.57,2.04,-0.31%,0.006294844,-1.242070334,2074.89,,,,,,,
NIFTY 50,21-02-2005,2043.2,14.21,3.55,2.05,-0.60%,0.005786897,-1.244198859,2063.88,,,,,,,
NIFTY 50,22-02-2005,2058.4,14.31,3.57,2.03,0.74%,0.006412062,-1.241579136,2057.57,,,,,,,
NIFTY 50,23-02-2005,2057.1,14.3,3.57,2.03,-0.06%,0.006358594,-1.241803191,2055.23,,,,,,,
NIFTY 50,24-02-2005,2055.3,14.29,3.57,2.04,-0.09%,0.006284561,-1.242113422,2053.91,,,,,,,
NIFTY 50,25-02-2005,2060.9,14.71,3.84,1.93,0.27%,0.006514886,-1.24114826,2054.98,,,,,,,
NIFTY 50,28-02-2005,2103.25,15.02,3.92,1.9,2.05%,0.008256713,-1.233849229,2066.99,,,,,,,
NIFTY 50,01-03-2005,2084.4,14.88,3.89,1.92,-0.90%,0.007481425,-1.237098031,2072.19,,,,,,,
NIFTY 50,02-03-2005,2093.25,14.94,3.9,1.91,0.42%,0.00784542,-1.235572731,2079.42,,,,,,,
NIFTY 50,03-03-2005,2128.85,15.2,3.97,1.88,1.70%,0.009309624,-1.229437064,2094.13,,,,,,,
NIFTY 50,04-03-2005,2148.15,15.34,4.01,1.86,0.91%,0.01010342,-1.226110705,2111.58,,,,,,,
NIFTY 50,07-03-2005,2160.1,15.42,4.03,1.85,0.56%,0.010594915,-1.22405112,2122.95,,,,,,,
NIFTY 50,08-03-2005,2168.95,15.48,4.05,1.84,0.41%,0.01095891,-1.222525821,2139.86,,,,,,,
NIFTY 50,09-03-2005,2160.8,15.43,4.03,1.85,-0.38%,0.010623706,-1.223930475,2153.37,,,,,,,
NIFTY 50,10-03-2005,2167.4,15.47,4.04,1.84,0.31%,0.010895159,-1.222792964,2161.08,,,,,,,
NIFTY 50,11-03-2005,2154,15.38,4.02,1.86,-0.62%,0.010344026,-1.225102456,2162.25,,,,,,,
NIFTY 50,14-03-2005,2146.35,15.32,4,1.86,-0.36%,0.010029387,-1.226420936,2159.5,,,,,,,
NIFTY 50,15-03-2005,2128.95,15.2,3.97,1.88,-0.81%,0.009313737,-1.229419829,2151.5,,,,,,,
NIFTY 50,16-03-2005,2125.55,15.17,3.96,1.88,-0.16%,0.009173897,-1.23000582,2144.45,,,,,,,
NIFTY 50,17-03-2005,2098.5,14.98,3.91,1.91,-1.27%,0.008061349,-1.234667893,2130.67,,,,,,,
NIFTY 50,18-03-2005,2109.15,15.06,3.93,1.9,0.51%,0.008499376,-1.232832363,2121.7,,,,,,,
NIFTY 50,21-03-2005,2096.6,14.97,3.91,1.92,-0.60%,0.007983203,-1.234995358,2111.75,,,,,,,
NIFTY 50,22-03-2005,2061.6,14.72,3.85,1.95,-1.67%,0.006543676,-1.241027615,2098.28,,,,,,,
NIFTY 50,23-03-2005,2026.4,14.47,3.78,1.99,-1.71%,0.005095924,-1.247094342,2078.45,,,,,,,
NIFTY 50,24-03-2005,2015.4,14.39,3.76,2,-0.54%,0.004643501,-1.248990195,2061.83,,,,,,,
NIFTY 50,28-03-2005,2029.45,14.54,3.8,1.98,0.70%,0.005221368,-1.246568674,2045.89,,,,,,,
NIFTY 50,29-03-2005,1983.85,14.21,3.71,2.02,-2.25%,0.003345871,-1.254427844,2023.34,,,,,,,
NIFTY 50,30-03-2005,1993.7,14.3,3.74,2.01,0.50%,0.003750995,-1.252730194,2009.76,,,,,,,
NIFTY 50,31-03-2005,2035.65,14.6,3.82,1.97,2.10%,0.00547637,-1.245500103,2011.61,,,,,,,
NIFTY 50,01-04-2005,2067.65,14.84,3.88,1.94,1.57%,0.006792509,-1.239984897,2022.06,,,,,,,
NIFTY 50,04-04-2005,2063.4,14.81,3.86,1.94,-0.21%,0.006617709,-1.240717385,2028.85,,,,,,,
NIFTY 50,05-04-2005,2052.55,14.71,3.84,1.95,-0.53%,0.006171456,-1.242587385,2042.59,,,,,,,
NIFTY 50,06-04-2005,2069.3,14.83,3.87,1.94,0.82%,0.006860372,-1.239700519,2057.71,,,,,,,
NIFTY 50,07-04-2005,2052.85,14.71,3.84,1.95,-0.79%,0.006183795,-1.24253568,2061.15,,,,,,,
NIFTY 50,08-04-2005,2031.2,14.56,3.8,1.97,-1.05%,0.005293345,-1.246267062,2053.86,,,,,,,
NIFTY 50,11-04-2005,2008.2,14.39,3.76,2,-1.13%,0.00434737,-1.250231116,2042.82,,,,,,,
NIFTY 50,12-04-2005,2024.95,14.65,3.82,1.96,0.83%,0.005036286,-1.24734425,2037.3,,,,,,,
NIFTY 50,13-04-2005,2025.45,14.52,3.79,1.98,0.02%,0.005056851,-1.247258075,2028.53,,,,,,,
NIFTY 50,15-04-2005,1956.3,13.95,3.66,2.05,-3.41%,0.002212758,-1.259176092,2009.22,,,,,,,
NIFTY 50,18-04-2005,1927.8,13.75,3.61,2.08,-1.46%,0.001040572,-1.264088073,1988.54,,,,,,,
NIFTY 50,19-04-2005,1909.4,13.64,3.57,2.1,-0.95%,0.000283792,-1.267259316,1968.78,,,,,,,
NIFTY 50,20-04-2005,1929.7,13.78,3.61,2.08,1.06%,0.001118718,-1.263760607,1949.73,,,,,,,
NIFTY 50,21-04-2005,1948.55,13.87,3.65,2.06,0.98%,0.001894006,-1.260511806,1934.35,,,,,,,
NIFTY 50,22-04-2005,1967.35,13.97,3.68,2.04,0.96%,0.002667237,-1.257271622,1936.56,,,,,,,
NIFTY 50,25-04-2005,1970.95,13.99,3.69,2.03,0.18%,0.002815303,-1.256651161,1945.19,,,,,,,
NIFTY 50,26-04-2005,1957.1,13.85,3.66,2.05,-0.70%,0.002245661,-1.259038212,1954.73,,,,,,,
NIFTY 50,27-04-2005,1935.4,13.51,3.62,2.07,-1.11%,0.001353155,-1.262778211,1955.87,,,,,,,
NIFTY 50,28-04-2005,1941.3,13.55,3.63,2.07,0.30%,0.001595818,-1.261761345,1954.42,,,,,,,
NIFTY 50,29-04-2005,1902.5,13.27,3.56,2.11,-2.00%,0,-1.268448533,1941.45,,,,,,,
NIFTY 50,02-05-2005,1916.75,13.32,3.59,2.11,0.75%,0.000586093,-1.265992542,1930.61,,,,,,,
NIFTY 50,03-05-2005,1920.7,13.35,3.59,2.1,0.21%,0.000748554,-1.265311759,1923.33,,,,,,,
NIFTY 50,04-05-2005,1942.6,13.5,3.63,2.08,1.14%,0.001649286,-1.26153729,1924.77,,,,,,,
NIFTY 50,05-05-2005,1963.3,13.64,3.67,2.06,1.07%,0.002500663,-1.25796964,1929.17,,,,,,,
NIFTY 50,06-05-2005,1977.5,13.71,3.7,2.04,0.72%,0.0030847,-1.255522267,1944.17,,,,,,,
NIFTY 50,09-05-2005,2000.75,13.87,3.74,2.02,1.18%,0.004040957,-1.251515125,1960.97,,,,,,,
NIFTY 50,10-05-2005,1994.3,13.82,3.73,2.02,-0.32%,0.003775672,-1.252626784,1975.69,,,,,,,
NIFTY 50,11-05-2005,1985.95,13.76,3.72,2.03,-0.42%,0.003432243,-1.254065908,1984.36,,,,,,,
NIFTY 50,12-05-2005,1993.15,13.81,3.73,2.03,0.36%,0.003728374,-1.252824987,1990.33,,,,,,,
NIFTY 50,13-05-2005,1988.3,13.78,3.72,2.03,-0.24%,0.003528896,-1.253660885,1992.49,,,,,,,
NIFTY 50,16-05-2005,2012.6,13.97,3.77,2.04,1.22%,0.004528339,-1.249472775,1994.86,,,,,,,
NIFTY 50,17-05-2005,1990.8,13.8,3.73,2.06,-1.08%,0.00363172,-1.25323001,1994.16,,,,,,,
NIFTY 50,18-05-2005,1982.75,13.74,3.72,2.07,-0.40%,0.003300629,-1.254617429,1993.52,,,,,,,
NIFTY 50,19-05-2005,1990.85,13.74,3.73,2.06,0.41%,0.003633776,-1.253221392,1993.06,,,,,,,
NIFTY 50,20-05-2005,1992.4,13.73,3.73,2.06,0.08%,0.003697527,-1.252954249,1993.88,,,,,,,
NIFTY 50,23-05-2005,2013.9,13.88,3.77,2.04,1.08%,0.004581807,-1.24924872,1994.14,,,,,,,
NIFTY 50,24-05-2005,2028.6,13.98,3.8,2.02,0.73%,0.005186408,-1.246715172,2001.7,,,,,,,
NIFTY 50,25-05-2005,2043.85,13.75,3.83,2.01,0.75%,0.005813631,-1.244086831,2013.92,,,,,,,
NIFTY 50,26-05-2005,2074.7,13.95,3.89,1.98,1.51%,0.00708247,-1.238769828,2030.69,,,,,,,
NIFTY 50,27-05-2005,2076.4,13.97,3.89,1.98,0.08%,0.00715239,-1.238476832,2047.49,,,,,,,
NIFTY 50,30-05-2005,2072.4,13.86,3.88,1.99,-0.19%,0.006987873,-1.239166233,2059.19,,,,,,,
NIFTY 50,31-05-2005,2087.55,13.94,3.91,1.97,0.73%,0.007610982,-1.236555128,2070.98,,,,,,,
NIFTY 50,01-06-2005,2087.55,13.93,3.91,1.97,0.00%,0.007610982,-1.236555128,2079.72,,,,,,,
NIFTY 50,02-06-2005,2064.65,13.77,3.87,1.99,-1.10%,0.006669121,-1.240501947,2077.71,,,,,,,
NIFTY 50,03-06-2005,2094.25,13.97,3.93,1.96,1.43%,0.007886549,-1.235400381,2081.28,,,,,,,
NIFTY 50,04-06-2005,2092.35,13.96,3.92,1.97,-0.09%,0.007808403,-1.235727847,2085.27,,,,,,,
NIFTY 50,06-06-2005,2092.8,13.96,3.92,1.65,0.02%,0.007826911,-1.235650289,2086.32,,,,,,,
NIFTY 50,07-06-2005,2098.15,14,3.93,1.65,0.26%,0.008046953,-1.234728215,2088.44,,,,,,,
NIFTY 50,08-06-2005,2112.4,14.09,3.96,1.64,0.68%,0.008633046,-1.232272225,2097.99,,,,,,,
NIFTY 50,09-06-2005,2103.2,13.97,3.94,1.64,-0.44%,0.008254656,-1.233857847,2099.78,,,,,,,
NIFTY 50,10-06-2005,2090.6,13.89,3.92,1.65,-0.60%,0.007736427,-1.236029459,2099.43,,,,,,,
NIFTY 50,13-06-2005,2102.75,13.9,3.79,1.61,0.58%,0.008236148,-1.233935404,2101.42,,,,,,,
NIFTY 50,14-06-2005,2112.35,13.96,3.81,1.6,0.46%,0.00863099,-1.232280842,2104.26,,,,,,,
NIFTY 50,15-06-2005,2128.65,14.07,3.84,1.59,0.77%,0.009301398,-1.229471534,2107.51,,,,,,,
NIFTY 50,16-06-2005,2123.7,14.04,3.83,1.59,-0.23%,0.009097808,-1.230324668,2111.61,,,,,,,
NIFTY 50,17-06-2005,2123.4,14.04,3.83,1.59,-0.01%,0.009085469,-1.230376373,2118.17,,,,,,,
NIFTY 50,20-06-2005,2144.35,13.82,3.87,1.58,0.99%,0.009947128,-1.226765636,2126.49,,,,,,,
NIFTY 50,21-06-2005,2170,13.99,3.92,1.56,1.20%,0.011002096,-1.222344853,2138.02,,,,,,,
NIFTY 50,22-06-2005,2187.35,14.1,3.95,1.55,0.80%,0.011715689,-1.219354577,2149.76,,,,,,,
NIFTY 50,23-06-2005,2183.85,14.08,3.94,1.55,-0.16%,0.011571737,-1.219957803,2161.79,,,,,,,
NIFTY 50,24-06-2005,2194.35,14.14,3.96,1.54,0.48%,0.012003595,-1.218148126,2175.98,,,,,,,
NIFTY 50,27-06-2005,2199.8,14.18,3.94,1.57,0.25%,0.01222775,-1.217208817,2187.07,,,,,,,
NIFTY 50,28-06-2005,2169.85,13.99,3.89,1.59,-1.36%,0.010995926,-1.222370706,2187.04,,,,,,,
NIFTY 50,29-06-2005,2191.65,14.13,3.93,1.57,1.00%,0.011892546,-1.218613471,2187.9,,,,,,,
NIFTY 50,30-06-2005,2220.6,14.31,3.98,1.55,1.32%,0.01308324,-1.213623933,2195.25,,,,,,,
NIFTY 50,01-07-2005,2211.9,14.26,3.96,1.56,-0.39%,0.012725414,-1.21512338,2198.76,,,,,,,
NIFTY 50,04-07-2005,2230.65,14.38,3.91,1.63,0.85%,0.013496589,-1.211891813,2204.93,,,,,,,
