Date,Price,P/E,Dividend Yield
03-01-2005,2115,15.57,1.89
04-01-2005,2103.75,15.49,1.9
05-01-2005,2032.2,14.96,1.97
06-01-2005,1998.35,14.71,2
07-01-2005,2015.5,14.84,1.98
10-01-2005,1982,14.58,2.02
11-01-2005,1952.05,14.37,2.05
12-01-2005,1913.6,14.05,2.09
13-01-2005,1954.55,14.35,2.05
14-01-2005,1931.1,14.18,2.07
17-01-2005,1932.9,14.17,2.07
18-01-2005,1934.05,14.19,2.07
19-01-2005,1926.65,14.12,2.07
20-01-2005,1925.3,14.09,2.08
24-01-2005,1909,13.6,2.09
25-01-2005,1931.85,13.74,2.07
27-01-2005,1955,13.84,2.04
28-01-2005,2008.3,14.34,1.99
31-01-2005,2057.6,14.68,1.94
01-02-2005,2059.85,14.34,1.94
02-02-2005,2052.25,14.24,1.95
03-02-2005,2079.45,14.42,1.92
04-02-2005,2077.95,14.41,1.92
07-02-2005,2055.1,14.26,2.02
08-02-2005,2055.15,14.26,2.02
09-02-2005,2070,14.36,2.01
10-02-2005,2063.35,14.31,2.01
11-02-2005,2082.05,14.48,2
14-02-2005,2098.25,14.59,1.99
15-02-2005,2089.95,14.53,2
16-02-2005,2068.8,14.39,2.02
17-02-2005,2061.9,14.34,2.03
18-02-2005,2055.55,14.29,2.04
21-02-2005,2043.2,14.21,2.05
22-02-2005,2058.4,14.31,2.03
23-02-2005,2057.1,14.3,2.03
24-02-2005,2055.3,14.29,2.04
25-02-2005,2060.9,14.71,1.93
28-02-2005,2103.25,15.02,1.9
01-03-2005,2084.4,14.88,1.92
02-03-2005,2093.25,14.94,1.91
03-03-2005,2128.85,15.2,1.88
04-03-2005,2148.15,15.34,1.86
07-03-2005,2160.1,15.42,1.85
08-03-2005,2168.95,15.48,1.84
09-03-2005,2160.8,15.43,1.85
10-03-2005,2167.4,15.47,1.84
11-03-2005,2154,15.38,1.86
14-03-2005,2146.35,15.32,1.86
15-03-2005,2128.95,15.2,1.88
16-03-2005,2125.55,15.17,1.88
17-03-2005,2098.5,14.98,1.91
18-03-2005,2109.15,15.06,1.9
21-03-2005,2096.6,14.97,1.92
22-03-2005,2061.6,14.72,1.95
23-03-2005,2026.4,14.47,1.99
24-03-2005,2015.4,14.39,2
28-03-2005,2029.45,14.54,1.98
29-03-2005,1983.85,14.21,2.02
30-03-2005,1993.7,14.3,2.01
31-03-2005,2035.65,14.6,1.97
01-04-2005,2067.65,14.84,1.94
04-04-2005,2063.4,14.81,1.94
05-04-2005,2052.55,14.71,1.95
06-04-2005,2069.3,14.83,1.94
07-04-2005,2052.85,14.71,1.95
08-04-2005,2031.2,14.56,1.97
11-04-2005,2008.2,14.39,2
12-04-2005,2024.95,14.65,1.96
13-04-2005,2025.45,14.52,1.98
15-04-2005,1956.3,13.95,2.05
18-04-2005,1927.8,13.75,2.08
19-04-2005,1909.4,13.64,2.1
20-04-2005,1929.7,13.78,2.08
21-04-2005,1948.55,13.87,2.06
22-04-2005,1967.35,13.97,2.04
25-04-2005,1970.95,13.99,2.03
26-04-2005,1957.1,13.85,2.05
27-04-2005,1935.4,13.51,2.07
28-04-2005,1941.3,13.55,2.07
29-04-2005,1902.5,13.27,2.11
02-05-2005,1916.75,13.32,2.11
03-05-2005,1920.7,13.35,2.1
04-05-2005,1942.6,13.5,2.08
05-05-2005,1963.3,13.64,2.06
06-05-2005,1977.5,13.71,2.04
09-05-2005,2000.75,13.87,2.02
10-05-2005,1994.3,13.82,2.02
11-05-2005,1985.95,13.76,2.03
12-05-2005,1993.15,13.81,2.03
13-05-2005,1988.3,13.78,2.03
16-05-2005,2012.6,13.97,2.04
17-05-2005,1990.8,13.8,2.06
18-05-2005,1982.75,13.74,2.07
19-05-2005,1990.85,13.74,2.06
20-05-2005,1992.4,13.73,2.06
23-05-2005,2013.9,13.88,2.04
24-05-2005,2028.6,13.98,2.02
25-05-2005,2043.85,13.75,2.01
26-05-2005,2074.7,13.95,1.98
27-05-2005,2076.4,13.97,1.98
30-05-2005,2072.4,13.86,1.99
31-05-2005,2087.55,13.94,1.97
01-06-2005,2087.55,13.93,1.97
02-06-2005,2064.65,13.77,1.99
03-06-2005,2094.25,13.97,1.96
04-06-2005,2092.35,13.96,1.97
06-06-2005,2092.8,13.96,1.65
07-06-2005,2098.15,14,1.65
08-06-2005,2112.4,14.09,1.64
09-06-2005,2103.2,13.97,1.64
10-06-2005,2090.6,13.89,1.65
13-06-2005,2102.75,13.9,1.61
14-06-2005,2112.35,13.96,1.6
15-06-2005,2128.65,14.07,1.59
16-06-2005,2123.7,14.04,1.59
17-06-2005,2123.4,14.04,1.59
20-06-2005,2144.35,13.82,1.58
21-06-2005,2170,13.99,1.56
22-06-2005,2187.35,14.1,1.55
23-06-2005,2183.85,14.08,1.55
24-06-2005,2194.35,14.14,1.54
27-06-2005,2199.8,14.18,1.57
28-06-2005,2169.85,13.99,1.59
29-06-2005,2191.65,14.13,1.57
30-06-2005,2220.6,14.31,1.55
01-07-2005,2211.9,14.26,1.56
04-07-2005,2230.65,14.38,1.63
05-07-2005,2210.75,14.25,1.64
06-07-2005,2228.2,14.36,1.63
07-07-2005,2179.4,14.05,1.67
08-07-2005,2196.2,14.16,1.66
11-07-2005,2218.85,14.3,1.65
12-07-2005,2220.8,14.29,1.65
13-07-2005,2204.05,14.17,1.66
14-07-2005,2185.1,14.04,1.68
15-07-2005,2212.55,14.21,1.65
18-07-2005,2234,14.31,1.64
19-07-2005,2237.3,14.33,1.64
